Body,Implies,Head,Support,Confidence
{'housemaid'}, --> ,{'admin.'},0.6410256410256411,0.8474576271186441
{'admin.'}, --> ,{'housemaid'},0.6410256410256411,0.9803921568627452
{'retired'}, --> ,"{'housemaid', 'admin.'}",0.5512820512820513,0.6417910447761195
{'housemaid'}, --> ,"{'retired', 'admin.'}",0.5512820512820513,0.728813559322034
{'admin.'}, --> ,"{'retired', 'housemaid'}",0.5512820512820513,0.8431372549019608
"{'retired', 'housemaid'}", --> ,{'admin.'},0.5512820512820513,0.826923076923077
"{'retired', 'admin.'}", --> ,{'housemaid'},0.5512820512820513,1.0
"{'housemaid', 'admin.'}", --> ,{'retired'},0.5512820512820513,0.86
{'admin.'}, --> ,{'management'},0.6025641025641025,0.9215686274509803
{'management'}, --> ,{'admin.'},0.6025641025641025,0.9215686274509803
{'housemaid'}, --> ,"{'management', 'admin.'}",0.6025641025641025,0.7966101694915254
{'admin.'}, --> ,"{'housemaid', 'management'}",0.6025641025641025,0.9215686274509803
{'management'}, --> ,"{'housemaid', 'admin.'}",0.6025641025641025,0.9215686274509803
"{'housemaid', 'admin.'}", --> ,{'management'},0.6025641025641025,0.9399999999999998
"{'housemaid', 'management'}", --> ,{'admin.'},0.6025641025641025,0.9591836734693877
"{'management', 'admin.'}", --> ,{'housemaid'},0.6025641025641025,1.0
{'retired'}, --> ,"{'housemaid', 'admin.', 'management'}",0.5128205128205128,0.5970149253731343
{'housemaid'}, --> ,"{'retired', 'admin.', 'management'}",0.5128205128205128,0.6779661016949152
{'admin.'}, --> ,"{'retired', 'housemaid', 'management'}",0.5128205128205128,0.784313725490196
{'management'}, --> ,"{'retired', 'housemaid', 'admin.'}",0.5128205128205128,0.784313725490196
"{'retired', 'housemaid'}", --> ,"{'admin.', 'management'}",0.5128205128205128,0.7692307692307692
"{'retired', 'admin.'}", --> ,"{'housemaid', 'management'}",0.5128205128205128,0.9302325581395348
"{'retired', 'management'}", --> ,"{'housemaid', 'admin.'}",0.5128205128205128,0.9090909090909091
"{'housemaid', 'admin.'}", --> ,"{'retired', 'management'}",0.5128205128205128,0.7999999999999998
"{'housemaid', 'management'}", --> ,"{'retired', 'admin.'}",0.5128205128205128,0.8163265306122448
"{'management', 'admin.'}", --> ,"{'retired', 'housemaid'}",0.5128205128205128,0.851063829787234
"{'retired', 'housemaid', 'admin.'}", --> ,{'management'},0.5128205128205128,0.9302325581395348
"{'retired', 'housemaid', 'management'}", --> ,{'admin.'},0.5128205128205128,0.9523809523809523
"{'retired', 'admin.', 'management'}", --> ,{'housemaid'},0.5128205128205128,1.0
"{'housemaid', 'admin.', 'management'}", --> ,{'retired'},0.5128205128205128,0.851063829787234
{'retired'}, --> ,"{'management', 'admin.'}",0.5128205128205128,0.5970149253731343
{'admin.'}, --> ,"{'retired', 'management'}",0.5128205128205128,0.784313725490196
{'management'}, --> ,"{'retired', 'admin.'}",0.5128205128205128,0.784313725490196
"{'retired', 'admin.'}", --> ,{'management'},0.5128205128205128,0.9302325581395348
"{'retired', 'management'}", --> ,{'admin.'},0.5128205128205128,0.9090909090909091
"{'management', 'admin.'}", --> ,{'retired'},0.5128205128205128,0.851063829787234
{'retired'}, --> ,{'admin.'},0.5512820512820513,0.6417910447761195
{'admin.'}, --> ,{'retired'},0.5512820512820513,0.8431372549019608
{'technician'}, --> ,{'admin.'},0.6153846153846154,0.96
{'admin.'}, --> ,{'technician'},0.6153846153846154,0.9411764705882353
{'housemaid'}, --> ,"{'technician', 'admin.'}",0.6025641025641025,0.7966101694915254
{'technician'}, --> ,"{'housemaid', 'admin.'}",0.6025641025641025,0.9399999999999998
{'admin.'}, --> ,"{'housemaid', 'technician'}",0.6025641025641025,0.9215686274509803
"{'housemaid', 'technician'}", --> ,{'admin.'},0.6025641025641025,0.9791666666666665
"{'housemaid', 'admin.'}", --> ,{'technician'},0.6025641025641025,0.9399999999999998
"{'technician', 'admin.'}", --> ,{'housemaid'},0.6025641025641025,0.9791666666666665
{'retired'}, --> ,"{'housemaid', 'technician', 'admin.'}",0.5128205128205128,0.5970149253731343
{'housemaid'}, --> ,"{'retired', 'technician', 'admin.'}",0.5128205128205128,0.6779661016949152
{'technician'}, --> ,"{'retired', 'housemaid', 'admin.'}",0.5128205128205128,0.7999999999999998
{'admin.'}, --> ,"{'retired', 'housemaid', 'technician'}",0.5128205128205128,0.784313725490196
"{'retired', 'housemaid'}", --> ,"{'technician', 'admin.'}",0.5128205128205128,0.7692307692307692
"{'retired', 'technician'}", --> ,"{'housemaid', 'admin.'}",0.5128205128205128,0.9523809523809523
"{'retired', 'admin.'}", --> ,"{'housemaid', 'technician'}",0.5128205128205128,0.9302325581395348
"{'housemaid', 'technician'}", --> ,"{'retired', 'admin.'}",0.5128205128205128,0.8333333333333333
"{'housemaid', 'admin.'}", --> ,"{'retired', 'technician'}",0.5128205128205128,0.7999999999999998
"{'technician', 'admin.'}", --> ,"{'retired', 'housemaid'}",0.5128205128205128,0.8333333333333333
"{'retired', 'housemaid', 'technician'}", --> ,{'admin.'},0.5128205128205128,0.9756097560975608
"{'retired', 'housemaid', 'admin.'}", --> ,{'technician'},0.5128205128205128,0.9302325581395348
"{'retired', 'technician', 'admin.'}", --> ,{'housemaid'},0.5128205128205128,1.0
"{'housemaid', 'technician', 'admin.'}", --> ,{'retired'},0.5128205128205128,0.851063829787234
{'technician'}, --> ,"{'management', 'admin.'}",0.5897435897435898,0.9199999999999999
{'admin.'}, --> ,"{'technician', 'management'}",0.5897435897435898,0.9019607843137255
{'management'}, --> ,"{'technician', 'admin.'}",0.5897435897435898,0.9019607843137255
"{'technician', 'admin.'}", --> ,{'management'},0.5897435897435898,0.9583333333333333
"{'technician', 'management'}", --> ,{'admin.'},0.5897435897435898,0.9787234042553192
"{'management', 'admin.'}", --> ,{'technician'},0.5897435897435898,0.9787234042553192
{'housemaid'}, --> ,"{'technician', 'admin.', 'management'}",0.5897435897435898,0.7796610169491526
{'technician'}, --> ,"{'housemaid', 'admin.', 'management'}",0.5897435897435898,0.9199999999999999
{'admin.'}, --> ,"{'housemaid', 'technician', 'management'}",0.5897435897435898,0.9019607843137255
{'management'}, --> ,"{'housemaid', 'technician', 'admin.'}",0.5897435897435898,0.9019607843137255
"{'housemaid', 'technician'}", --> ,"{'admin.', 'management'}",0.5897435897435898,0.9583333333333333
"{'housemaid', 'admin.'}", --> ,"{'technician', 'management'}",0.5897435897435898,0.9199999999999999
"{'housemaid', 'management'}", --> ,"{'technician', 'admin.'}",0.5897435897435898,0.9387755102040817
"{'technician', 'admin.'}", --> ,"{'housemaid', 'management'}",0.5897435897435898,0.9583333333333333
"{'technician', 'management'}", --> ,"{'housemaid', 'admin.'}",0.5897435897435898,0.9787234042553192
"{'management', 'admin.'}", --> ,"{'housemaid', 'technician'}",0.5897435897435898,0.9787234042553192
"{'housemaid', 'technician', 'admin.'}", --> ,{'management'},0.5897435897435898,0.9787234042553192
"{'housemaid', 'technician', 'management'}", --> ,{'admin.'},0.5897435897435898,1.0
"{'housemaid', 'admin.', 'management'}", --> ,{'technician'},0.5897435897435898,0.9787234042553192
"{'technician', 'admin.', 'management'}", --> ,{'housemaid'},0.5897435897435898,1.0
{'management'}, --> ,"{'retired', 'housemaid', 'technician', 'admin.'}",0.5,0.7647058823529411
{'retired'}, --> ,"{'housemaid', 'technician', 'admin.', 'management'}",0.5,0.582089552238806
{'housemaid'}, --> ,"{'retired', 'technician', 'admin.', 'management'}",0.5,0.6610169491525424
{'technician'}, --> ,"{'retired', 'housemaid', 'admin.', 'management'}",0.5,0.7799999999999999
{'admin.'}, --> ,"{'retired', 'housemaid', 'technician', 'management'}",0.5,0.7647058823529411
"{'retired', 'management'}", --> ,"{'housemaid', 'technician', 'admin.'}",0.5,0.8863636363636364
"{'housemaid', 'management'}", --> ,"{'retired', 'technician', 'admin.'}",0.5,0.7959183673469388
"{'technician', 'management'}", --> ,"{'retired', 'housemaid', 'admin.'}",0.5,0.8297872340425533
"{'admin.', 'management'}", --> ,"{'retired', 'housemaid', 'technician'}",0.5,0.8297872340425533
"{'retired', 'housemaid'}", --> ,"{'technician', 'admin.', 'management'}",0.5,0.75
"{'retired', 'technician'}", --> ,"{'housemaid', 'admin.', 'management'}",0.5,0.9285714285714286
"{'retired', 'admin.'}", --> ,"{'housemaid', 'technician', 'management'}",0.5,0.9069767441860465
"{'housemaid', 'technician'}", --> ,"{'retired', 'admin.', 'management'}",0.5,0.8125
"{'housemaid', 'admin.'}", --> ,"{'retired', 'technician', 'management'}",0.5,0.7799999999999999
"{'technician', 'admin.'}", --> ,"{'retired', 'housemaid', 'management'}",0.5,0.8125
"{'retired', 'housemaid', 'management'}", --> ,"{'technician', 'admin.'}",0.5,0.9285714285714286
"{'retired', 'technician', 'management'}", --> ,"{'housemaid', 'admin.'}",0.5,0.9750000000000001
"{'retired', 'admin.', 'management'}", --> ,"{'housemaid', 'technician'}",0.5,0.9750000000000001
"{'housemaid', 'technician', 'management'}", --> ,"{'retired', 'admin.'}",0.5,0.8478260869565217
"{'housemaid', 'admin.', 'management'}", --> ,"{'retired', 'technician'}",0.5,0.8297872340425533
"{'technician', 'admin.', 'management'}", --> ,"{'retired', 'housemaid'}",0.5,0.8478260869565217
"{'retired', 'housemaid', 'technician'}", --> ,"{'admin.', 'management'}",0.5,0.9512195121951219
"{'retired', 'housemaid', 'admin.'}", --> ,"{'technician', 'management'}",0.5,0.9069767441860465
"{'retired', 'technician', 'admin.'}", --> ,"{'housemaid', 'management'}",0.5,0.9750000000000001
"{'housemaid', 'technician', 'admin.'}", --> ,"{'retired', 'management'}",0.5,0.8297872340425533
"{'retired', 'housemaid', 'technician', 'management'}", --> ,{'admin.'},0.5,1.0
"{'retired', 'housemaid', 'admin.', 'management'}", --> ,{'technician'},0.5,0.9750000000000001
"{'retired', 'technician', 'admin.', 'management'}", --> ,{'housemaid'},0.5,1.0
"{'housemaid', 'technician', 'admin.', 'management'}", --> ,{'retired'},0.5,0.8478260869565217
"{'retired', 'housemaid', 'technician', 'admin.'}", --> ,{'management'},0.5,0.9750000000000001
{'retired'}, --> ,"{'technician', 'admin.', 'management'}",0.5,0.582089552238806
{'technician'}, --> ,"{'retired', 'admin.', 'management'}",0.5,0.7799999999999999
{'admin.'}, --> ,"{'retired', 'technician', 'management'}",0.5,0.7647058823529411
{'management'}, --> ,"{'retired', 'technician', 'admin.'}",0.5,0.7647058823529411
"{'retired', 'technician'}", --> ,"{'admin.', 'management'}",0.5,0.9285714285714286
"{'retired', 'admin.'}", --> ,"{'technician', 'management'}",0.5,0.9069767441860465
"{'retired', 'management'}", --> ,"{'technician', 'admin.'}",0.5,0.8863636363636364
"{'technician', 'admin.'}", --> ,"{'retired', 'management'}",0.5,0.8125
"{'technician', 'management'}", --> ,"{'retired', 'admin.'}",0.5,0.8297872340425533
"{'management', 'admin.'}", --> ,"{'retired', 'technician'}",0.5,0.8297872340425533
"{'retired', 'technician', 'admin.'}", --> ,{'management'},0.5,0.9750000000000001
"{'retired', 'technician', 'management'}", --> ,{'admin.'},0.5,0.9750000000000001
"{'retired', 'admin.', 'management'}", --> ,{'technician'},0.5,0.9750000000000001
"{'technician', 'admin.', 'management'}", --> ,{'retired'},0.5,0.8478260869565217
{'retired'}, --> ,"{'technician', 'admin.'}",0.5128205128205128,0.5970149253731343
{'technician'}, --> ,"{'retired', 'admin.'}",0.5128205128205128,0.7999999999999998
{'admin.'}, --> ,"{'retired', 'technician'}",0.5128205128205128,0.784313725490196
"{'retired', 'technician'}", --> ,{'admin.'},0.5128205128205128,0.9523809523809523
"{'retired', 'admin.'}", --> ,{'technician'},0.5128205128205128,0.9302325581395348
"{'technician', 'admin.'}", --> ,{'retired'},0.5128205128205128,0.8333333333333333
{'housemaid'}, --> ,{'technician'},0.6153846153846154,0.8135593220338984
{'technician'}, --> ,{'housemaid'},0.6153846153846154,0.96
{'retired'}, --> ,"{'housemaid', 'technician'}",0.5256410256410257,0.6119402985074628
{'housemaid'}, --> ,"{'retired', 'technician'}",0.5256410256410257,0.6949152542372882
{'technician'}, --> ,"{'retired', 'housemaid'}",0.5256410256410257,0.82
