TID,Sex,Price,Category,Color,Size,Brand,Material,Origin,Sales_channel,Season,s/n
0,1,9,11,1,5,5,4,4,2,3,1
1,1,5,0,0,3,0,5,0,2,0,0
2,1,1,10,6,2,5,0,1,1,2,1
3,1,9,7,6,2,6,3,0,0,1,1
4,0,12,10,2,2,7,8,6,2,0,1
5,0,8,5,2,1,3,7,1,3,1,1
6,0,14,9,6,6,7,4,1,2,2,1
7,0,1,11,4,2,6,8,1,1,1,1
8,1,14,0,1,7,5,1,0,4,2,0
9,1,12,11,8,1,3,8,6,0,2,1
10,0,14,8,1,4,7,1,2,3,0,1
11,1,17,5,7,2,2,3,1,1,1,1
12,0,15,2,1,5,3,4,1,3,1,0
13,1,14,8,4,5,3,2,0,2,1,0
14,0,16,7,1,5,4,9,4,4,2,0
15,1,12,11,5,0,7,4,4,3,1,1
16,0,4,9,6,1,1,6,4,3,2,0
17,1,12,8,6,3,7,2,4,1,0,0
18,0,12,8,9,1,3,5,2,0,3,0
19,0,6,5,9,6,4,1,4,4,3,0
20,0,14,5,1,6,4,5,0,1,0,0
21,1,11,4,1,4,1,0,6,1,3,1
22,0,19,7,4,5,6,4,1,2,2,0
23,1,6,10,2,0,1,6,0,2,1,1
24,0,6,11,3,0,2,3,4,1,0,0
25,1,6,2,1,6,4,8,2,1,2,0
26,0,10,6,8,4,6,8,3,3,0,0
27,1,7,10,3,3,2,7,1,2,3,0
28,0,16,8,0,6,6,6,4,3,1,0
29,1,1,2,1,5,1,3,4,2,2,1
30,1,17,4,1,5,1,5,5,3,3,0
31,1,18,6,2,0,3,6,5,1,0,1
32,1,4,4,1,2,1,5,5,1,2,0
33,0,17,9,6,3,0,0,4,1,3,0
34,0,8,1,5,1,6,1,5,3,1,1
35,0,7,2,9,2,0,5,6,1,2,1
36,1,6,4,2,2,3,6,6,0,2,1
37,1,14,5,5,3,3,1,2,3,0,1
38,0,8,9,0,2,2,5,3,0,0,1
39,0,1,7,6,3,4,4,3,4,1,1
40,1,3,9,7,0,2,2,0,4,2,1
41,1,10,4,3,1,7,4,4,1,2,0
42,1,15,11,8,3,6,1,3,2,2,1
43,1,12,11,6,4,5,5,2,3,2,1
44,1,6,8,5,0,2,5,4,2,3,1
45,0,9,10,3,5,5,2,3,1,3,0
46,1,8,7,7,6,1,8,2,0,2,0
47,0,3,9,4,3,4,5,0,3,0,0
48,1,8,5,9,3,1,1,1,4,1,1
49,1,18,8,7,5,2,3,6,1,1,1
50,1,10,5,8,3,5,8,0,1,1,1
51,0,16,7,9,2,6,0,6,0,3,1
52,0,19,6,0,5,3,0,4,2,3,0
53,1,18,10,7,5,6,9,0,4,0,1
54,0,14,2,3,0,1,3,2,4,1,0
55,1,2,7,7,6,6,3,4,2,1,1
56,0,14,6,4,0,1,7,1,4,2,1
57,0,8,11,3,2,7,3,3,2,3,1
58,1,13,4,7,3,2,9,4,4,3,0
59,0,6,9,5,7,1,2,0,1,1,0
60,1,8,5,8,6,5,7,6,1,1,1
61,0,9,8,7,7,1,3,4,3,1,0
62,1,14,7,0,5,1,6,4,4,2,0
63,1,19,6,4,6,4,8,3,1,0,0
64,1,15,10,2,2,4,0,3,4,1,0
65,1,3,1,3,1,0,3,4,3,0,0
66,0,0,10,7,6,4,8,2,4,3,1
67,0,4,11,7,0,7,8,3,0,3,1
68,0,6,6,8,4,3,0,2,0,1,0
69,1,14,6,0,1,1,2,1,4,0,0
70,0,16,7,7,1,2,7,1,4,0,1
71,1,12,0,9,4,1,5,3,3,1,0
72,1,16,4,7,6,4,1,1,0,2,0
73,0,3,1,4,1,5,1,1,1,0,1
74,1,12,6,9,5,5,3,0,1,3,0
75,1,2,4,8,5,2,6,1,4,3,1
76,0,15,8,8,4,6,2,6,1,3,0
77,1,4,10,8,2,3,6,2,1,3,1
78,0,15,9,6,7,5,0,3,0,0,0
79,0,18,3,7,3,2,6,0,0,1,0
80,1,2,9,1,3,7,7,2,0,2,0
81,1,6,6,1,3,3,8,2,3,0,0
82,0,1,1,5,5,2,3,2,0,1,1
83,0,3,7,6,7,4,2,4,3,1,0
84,0,12,9,7,1,4,1,2,3,0,0
85,1,10,9,0,3,4,1,0,3,0,0
86,0,2,10,4,1,7,1,4,1,2,1
87,1,3,3,3,4,6,6,2,0,3,1
88,1,6,0,4,7,0,4,5,3,0,0
89,0,14,9,2,4,0,8,6,1,0,0
90,0,3,10,4,1,6,4,6,4,0,0
91,1,18,2,6,4,0,4,1,1,2,0
92,1,15,10,3,4,5,5,1,1,1,0
93,0,18,2,8,2,3,6,2,0,3,1
94,0,11,10,1,3,5,0,4,1,3,0
95,0,9,6,0,5,6,5,1,1,2,0
96,1,9,4,8,2,2,5,5,2,0,1
97,1,7,5,6,7,0,7,6,4,3,1
98,1,8,0,4,0,3,1,0,3,1,1
99,1,7,6,0,6,4,4,3,4,2,0
100,1,9,6,4,4,0,7,6,2,0,1
101,1,15,0,9,5,3,2,1,0,2,0
102,1,0,2,1,0,6,8,1,0,3,1
103,0,9,10,3,1,5,4,0,1,2,0
104,1,7,6,2,7,2,4,2,1,2,0
105,0,9,2,9,5,0,7,6,1,3,1
106,0,3,8,5,4,7,3,1,4,1,1
107,0,11,2,4,6,7,5,4,1,2,1
108,0,9,11,2,2,5,9,2,0,2,1
109,1,11,8,3,4,7,8,2,1,3,0
110,0,4,11,4,1,3,3,1,0,3,0
111,1,19,7,2,2,1,7,2,4,2,0
112,0,17,1,0,5,2,5,2,0,3,1
113,0,13,5,9,4,0,3,6,1,3,0
114,0,0,11,0,0,6,1,6,3,0,1
115,1,4,0,1,4,0,3,6,3,0,1
116,0,17,11,9,2,4,1,2,2,2,1
117,1,11,7,2,5,4,0,5,4,1,0
118,0,16,0,7,3,0,9,2,2,3,0
119,0,15,6,0,2,7,6,2,2,3,1
120,1,19,1,1,6,1,6,4,3,3,0
121,1,14,0,6,1,4,8,1,0,0,0
