TID,Sex,Price,Category,Color,Size,Brand,Material,Origin,Sales_channel,Season
0,female,3,7,2,7,4,8,4,3,1
1,male,19,0,5,5,3,7,1,0,3
2,male,9,3,3,2,7,0,0,2,3
3,female,15,3,3,6,3,4,0,2,0
4,male,0,2,8,5,4,7,1,2,1
5,female,2,10,5,0,0,9,0,2,1
6,female,19,2,5,0,6,4,4,2,2
7,male,16,5,1,1,4,9,0,0,3
8,male,1,6,3,2,0,4,5,3,2
9,female,16,4,6,2,5,9,5,3,0
10,female,6,1,4,2,5,7,1,2,1
11,male,12,2,8,1,7,3,6,1,3
12,female,5,3,0,0,5,5,1,1,2
13,male,4,8,7,3,0,2,3,3,2
14,female,11,8,9,0,2,2,6,3,1
15,female,3,8,2,2,5,5,2,0,0
16,male,7,1,8,7,5,7,5,3,3
17,female,4,7,3,4,4,3,2,0,1
18,female,19,2,8,3,2,1,1,3,3
19,female,7,5,7,2,1,7,2,0,0
20,female,2,9,7,1,4,3,5,2,1
21,male,17,11,3,3,1,5,5,3,2
22,male,8,7,1,3,3,0,5,4,0
23,female,1,10,0,1,7,4,2,4,3
24,female,2,2,2,1,5,0,3,4,1
25,female,7,1,2,5,4,5,1,4,2
26,female,10,4,9,1,1,0,3,4,3
27,male,11,4,8,1,5,4,0,2,3
28,female,19,11,0,6,5,3,3,0,0
29,male,10,7,9,2,3,4,0,1,1
30,female,3,2,1,2,4,2,1,2,2
31,male,4,4,0,4,7,0,1,0,0
32,male,13,2,2,3,6,4,3,1,1
33,female,1,5,0,1,3,0,4,3,0
34,female,0,7,5,0,1,6,4,3,3
35,male,2,10,4,7,0,4,5,1,0
36,male,12,6,5,3,3,2,6,2,1
37,female,9,8,7,1,2,0,6,0,0
38,male,5,4,1,1,4,0,0,2,3
39,female,4,8,4,6,3,3,3,2,1
40,female,14,0,6,1,1,1,0,0,1
41,male,0,6,9,0,2,9,0,3,0
42,female,3,11,4,7,7,2,2,4,0
43,male,10,5,8,4,3,0,3,4,2
44,female,6,2,6,5,6,6,6,1,3
45,male,19,3,0,3,1,6,0,2,1
46,female,16,5,3,6,3,5,4,3,0
47,female,9,3,8,5,3,9,1,3,0
48,male,9,1,7,4,4,5,3,4,1
49,female,8,10,8,2,7,5,0,3,2
50,male,16,1,6,0,1,5,3,4,2
51,female,17,8,5,5,5,4,4,2,3
52,female,17,4,5,7,3,8,0,2,0
53,male,9,11,8,2,6,0,5,0,3
54,female,3,3,6,1,7,5,6,0,0
55,female,19,6,9,3,0,7,3,1,2
56,male,18,9,6,6,6,6,6,1,3
57,male,7,11,1,5,5,8,4,3,0
58,male,19,4,1,5,7,4,1,3,0
59,male,11,11,0,5,6,0,3,4,0
60,female,6,2,1,7,7,3,2,4,1
61,female,11,0,3,0,0,2,4,3,3
62,male,17,4,9,7,7,4,2,0,3
63,male,18,7,1,7,5,5,3,1,0
64,male,5,4,4,5,3,9,0,0,3
65,male,9,1,7,0,1,4,6,3,1
66,female,0,1,7,0,2,3,4,4,2
67,male,18,10,0,5,0,6,3,1,1
68,male,4,3,3,0,2,8,2,3,2
69,male,8,1,4,2,6,3,2,3,2
70,female,12,1,9,7,0,0,2,4,0
71,female,11,6,8,0,6,8,3,1,3
